
[Name]
Line 1

[Data]
X [ m ], Y [ m ], Z [ m ], C8h10.Mass Fraction, Density [ kg m^-3 ], Temperature [ K ], User Defined Memory 0, User Defined Memory 1, User Defined Memory 10, User Defined Memory 11, User Defined Memory 2, User Defined Memory 3, User Defined Memory 4, User Defined Memory 5, User Defined Memory 6, User Defined Memory 7, User Defined Memory 8, User Defined Memory 9, Velocity [ m s^-1 ]
9.89475381e-03, 0.00000000e+00, 0.00000000e+00, 7.37804323e-02, 5.96008182e-01, 6.05094543e+02, 4.62598764e-13, 5.45004752e-08, 3.39856321e-08, 2.47081580e+07, 0.00000000e+00, 0.00000000e+00, 8.08257367e-16, -8.08257367e-16, 2.60601082e-04, -2.60601082e-04, 3.61975125e-08, 2.21187979e-09, 2.00246094e+02
9.99329891e-03, 0.00000000e+00, 0.00000000e+00, 7.44652897e-02, 5.87570667e-01, 6.14066101e+02, 5.64483790e-13, 6.44039915e-08, 3.94876416e-08, 2.97247240e+07, 0.00000000e+00, 0.00000000e+00, 1.13149382e-15, -1.13149382e-15, 3.06260074e-04, -3.06260074e-04, 4.21718163e-08, 2.68416644e-09, 2.00986237e+02
1.00921867e-02, 0.00000000e+00, 0.00000000e+00, 7.52008408e-02, 5.79279780e-01, 6.23159973e+02, 6.79445757e-13, 7.50459321e-08, 4.52363231e-08, 3.52753240e+07, 0.00000000e+00, 0.00000000e+00, 1.54106104e-15, -1.54106104e-15, 3.54884629e-04, -3.54884629e-04, 4.84492091e-08, 3.21288529e-09, 2.01659973e+02
1.01914182e-02, 0.00000000e+00, 0.00000000e+00, 7.59837627e-02, 5.71153939e-01, 6.32362427e+02, 8.07298347e-13, 8.63017959e-08, 5.11402156e-08, 4.13272640e+07, 0.00000000e+00, 0.00000000e+00, 2.04540076e-15, -2.04540076e-15, 4.05910832e-04, -4.05910832e-04, 5.49370931e-08, 3.79687259e-09, 2.02288239e+02
1.02909952e-02, 0.00000000e+00, 0.00000000e+00, 7.68070370e-02, 5.63178837e-01, 6.41686157e+02, 9.47577954e-13, 9.80312436e-08, 5.71009124e-08, 4.78331440e+07, 1.40129846e-45, 0.00000000e+00, 2.64967915e-15, -2.64967915e-15, 4.58739465e-04, -4.58739465e-04, 6.15349478e-08, 4.43403358e-09, 2.02853500e+02
1.03909196e-02, 0.00000000e+00, 0.00000000e+00, 7.76694864e-02, 5.55340290e-01, 6.51136292e+02, 1.09956705e-12, 1.10084301e-07, 6.30206429e-08, 5.47351920e+07, 1.40129846e-44, 0.00000000e+00, 3.35536644e-15, -3.35536644e-15, 5.12725499e-04, -5.12725499e-04, 6.81417518e-08, 5.12112175e-09, 2.03376328e+02
1.04911905e-02, 0.00000000e+00, 0.00000000e+00, 7.85831884e-02, 5.47661722e-01, 6.60691040e+02, 1.26233247e-12, 1.22307981e-07, 6.88110049e-08, 6.19710920e+07, 1.03696086e-43, 0.00000000e+00, 4.16028491e-15, -4.16028491e-15, 5.67143667e-04, -5.67143667e-04, 7.46642570e-08, 5.85324234e-09, 2.03845734e+02
1.05918115e-02, 0.00000000e+00, 0.00000000e+00, 7.95550495e-02, 5.40144444e-01, 6.70347351e+02, 1.43476561e-12, 1.34552252e-07, 7.43894901e-08, 6.94719920e+07, 7.35681694e-43, 0.00000000e+00, 5.05814110e-15, -5.05814110e-15, 6.21297047e-04, -6.21297047e-04, 8.10143135e-08, 6.62483002e-09, 2.04251221e+02
1.06927827e-02, 0.00000000e+00, 0.00000000e+00, 8.05717185e-02, 5.32789946e-01, 6.80094543e+02, 1.61561303e-12, 1.46673656e-07, 7.96814206e-08, 7.71662240e+07, 4.96480046e-42, 0.00000000e+00, 6.03894342e-15, -6.03894342e-15, 6.74703741e-04, -6.74703741e-04, 8.71130794e-08, 7.43166240e-09, 2.04624069e+02
1.07941050e-02, 0.00000000e+00, 0.00000000e+00, 8.16265717e-02, 5.25601983e-01, 6.89923218e+02, 1.80352380e-12, 1.58539422e-07, 8.46242330e-08, 8.49819360e+07, 3.22424764e-41, 0.00000000e+00, 7.08953617e-15, -7.08953617e-15, 7.26878818e-04, -7.26878818e-04, 9.28928969e-08, 8.26867197e-09, 2.04963913e+02
1.08957794e-02, 0.00000000e+00, 0.00000000e+00, 8.27323347e-02, 5.18579841e-01, 6.99833374e+02, 1.99709823e-12, 1.70030859e-07, 8.91695038e-08, 9.28486880e+07, 2.01831820e-40, 0.00000000e+00, 8.19426788e-15, -8.19426788e-15, 7.77190318e-04, -7.77190318e-04, 9.82977681e-08, 9.12827591e-09, 2.05272385e+02
1.09978085e-02, 0.00000000e+00, 0.00000000e+00, 8.39025304e-02, 5.11731684e-01, 7.09813721e+02, 2.19493022e-12, 1.81045294e-07, 9.32836954e-08, 1.00701496e+08, 1.21461888e-39, 0.00000000e+00, 9.33620043e-15, -9.33620043e-15, 8.25036317e-04, -8.25036317e-04, 1.03285906e-07, 1.00022106e-08, 2.05520508e+02
